id,date,title,clean_text,corpus_source,sentiment_score,readability_index
4124,2026-07-19T23:00:00Z,Health Bill,Title: Health Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,14.9
3624,2025-02-12T00:00:00Z,Parliamentary and Health Service Ombudsman (Powers) Bill,Title: Parliamentary and Health Service Ombudsman (Powers) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,18.31
3664,2025-02-12T00:00:00Z,Schools (Mental Health Professionals) (No. 2) Bill,Title: Schools (Mental Health Professionals) (No. 2) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,12.18
3565,2024-05-30T23:00:00Z,Children in Hospital for Extended Periods (Report to Parliament) Bill,Title: Children in Hospital for Extended Periods (Report to Parliament) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,18.45
3529,2024-05-28T23:00:00Z,At-Home Early Medical Abortion (Review) Bill [HL],Title: At-Home Early Medical Abortion (Review) Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0,16.66
3384,2023-11-02T00:00:00Z,National Eye Health Strategy Bill,Title: National Eye Health Strategy Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,16.46
3363,2023-11-02T00:00:00Z,NHS Prescriptions (Drug Tariff Labelling) Bill,Title: NHS Prescriptions (Drug Tariff Labelling) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.45,16.72
3409,2023-11-01T00:00:00Z,First-Aid (Mental Health) Bill,Title: First-Aid (Mental Health) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,14.25
3247,2023-11-01T00:00:00Z,Hospitals (Parking Charges and Business Rates) Bill,Title: Hospitals (Parking Charges and Business Rates) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.55,16.34
3180,2023-10-31T00:00:00Z,Health Promotion Bill [HL],Title: Health Promotion Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.3,15.43
1918,2023-05-15T23:00:00Z,Health and Social Care (National Data Guardian) Bill,Title: Health and Social Care (National Data Guardian) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.9,16.66
3022,2022-11-15T00:00:00Z,Health and Care Act 2022,Title: Health and Care Act 2022 | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.8,13.51
3338,2022-10-25T23:00:00Z,Health and Social Care Levy (Repeal) Act 2022,Title: Health and Social Care Levy (Repeal) Act 2022 | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.55,14.8
2983,2022-05-04T23:00:00Z,NHS (Prohibition of Data Transfer) Bill,Title: NHS (Prohibition of Data Transfer) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,-0.2,16.72
3138,2022-05-03T23:00:00Z,Healthcare (Delayed Discharges) Bill,Title: Healthcare (Delayed Discharges) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.05,17.01
3005,2022-05-03T23:00:00Z,Immigration (Health and Social Care Staff) Bill,Title: Immigration (Health and Social Care Staff) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.8,15.69
2917,2022-05-03T23:00:00Z,Mental Health Provision (Children and Young People) Bill,Title: Mental Health Provision (Children and Young People) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.2,16.04
3040,2022-05-03T23:00:00Z,United Kingdom Atomic Energy Authority Pension Transfers (Parliamentary and Health Service Ombudsman Investigation) Bill Bill,Title: United Kingdom Atomic Energy Authority Pension Transfers (Parliamentary and Health Service Ombudsman Investigation) Bill Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.8,23.6
2902,2022-05-02T23:00:00Z,Medical Cannabis (Access) Bill,Title: Medical Cannabis (Access) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,17.79
2889,2022-04-28T23:00:00Z,Cigarette Stick Health Warnings Bill [HL],Title: Cigarette Stick Health Warnings Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.05,15.33
2934,2022-04-28T23:00:00Z,Clean Air Targets (World Health Organization Guidelines) Bill,Title: Clean Air Targets (World Health Organization Guidelines) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.55,16.66
3041,2021-10-20T23:00:00Z,Health and Social Care Levy Act 2021,Title: Health and Social Care Levy Act 2021 | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.55,14.37
2586,2021-05-04T23:00:00Z,Department of Health (Northern Ireland) Bill [HL],Title: Department of Health (Northern Ireland) Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,16.34
2628,2021-05-04T23:00:00Z,Mental Health Admissions (Data) Bill,Title: Mental Health Admissions (Data) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,16.46
2657,2021-05-04T23:00:00Z,National Health Service (Co-Funding and Co-Payment) Bill,Title: National Health Service (Co-Funding and Co-Payment) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,15.81
2701,2021-05-04T23:00:00Z,National Health Service Expenditure Bill,Title: National Health Service Expenditure Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.55,17.94
2807,2021-05-04T23:00:00Z,National Health Service Reserve Staff Bill,Title: National Health Service Reserve Staff Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.2,16.03
2636,2021-05-04T23:00:00Z,NHS 111 Service (Training and Clinical Oversight) Bill,Title: NHS 111 Service (Training and Clinical Oversight) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.3,16.66
