id,date,title,clean_text,corpus_source,sentiment_score,readability_index
4035,2026-09-04T00:00:00Z,Cyber Security and Resilience (Network and Information Systems) Bill,Title: Cyber Security and Resilience (Network and Information Systems) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.2,19.94
4269,2026-07-16T00:00:00Z,Energy and Digital Infrastructure (Planning) Bill,Title: Energy and Digital Infrastructure (Planning) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.05,18.8
4187,2026-06-23T00:00:00Z,Telecommunications (Fixed-term Contracts) Bill,Title: Telecommunications (Fixed-term Contracts) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,18.68
4170,2026-06-18T00:00:00Z,Automated Online Software (Access and Transparency) Bill,Title: Automated Online Software (Access and Transparency) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,18.96
4086,2026-05-05T00:00:00Z,Online Services (Age Restrictions) Bill,Title: Online Services (Age Restrictions) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,17.2
