id,date,title,clean_text,corpus_source,sentiment_score,readability_index
4284,2026-09-04T00:00:00Z,Climate Change Act 2008 (Repeal) (No. 2) Bill,Title: Climate Change Act 2008 (Repeal) (No. 2) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,10.47
4207,2026-08-19T00:00:00Z,Taxation (Energy and Vehicles) Act 2026,Title: Taxation (Energy and Vehicles) Act 2026 | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,17.42
4269,2026-07-16T00:00:00Z,Energy and Digital Infrastructure (Planning) Bill,Title: Energy and Digital Infrastructure (Planning) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.05,18.8
4229,2026-06-25T00:00:00Z,Domestic Energy (Value Added Tax) Bill,Title: Domestic Energy (Value Added Tax) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.3,17.42
4185,2026-06-23T00:00:00Z,Battery Energy Storage (Planning and Regulation) Bill,Title: Battery Energy Storage (Planning and Regulation) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.05,18.96
